Geneid	length	WT_Pmm2_8_1	WT_Pmm2_8_4	WT_Pmm2_8_2	WT_Pmm2_8_3	Mutant_Pmm2_8_1	Mutant_Pmm2_8_2	Mutant_Pmm2_8_5	Mutant_Pmm2_8_3	Mutant_Pmm2_8_4
rpl24	635	2572	26344	10062	1198	1826	13775	5440	1310	3231
cep97	2339	5	227	92	13	7	52	34	18	10
nfkbiz	2907	83	2004	989	45	67	572	277	83	197
eed	1563	13	420	233	14	22	214	91	14	27
hikeshi	865	75	1114	282	33	41	375	161	62	103
tmem39a	2167	76	636	299	18	37	287	183	50	58
ildr1a	2207	45	638	378	17	31	390	190	45	119
LOC100332762	3371	27	620	224	20	7	206	88	33	40
si:zfos-1011f11.1	2912	196	1729	929	104	101	1130	528	115	376
zgc:163025	2862	35	129	57	8	4	69	33	16	15
f7	1809	29	227	199	19	12	130	48	21	26
f7i	1694	27	197	135	8	9	35	25	13	28
f10	2314	192	1769	709	81	66	671	245	60	172
prozb	1520	6	171	98	7	5	94	35	3	29
pcid2	1648	46	383	208	18	25	282	88	21	35
cul4a	2948	229	2717	1025	83	98	895	452	120	220
zgc:64072	2748	385	4013	1483	181	259	1958	717	250	511
grtp1a	1688	51	601	316	28	9	187	83	28	59
adprhl1	5007	25	351	101	24	9	91	43	13	15
dcun1d2b	1856	64	917	290	29	43	344	173	40	88
tmco3	3007	7	341	138	27	10	122	59	18	38
tfdp1b	1735	14	186	127	9	10	121	57	24	17
grk1a	2090	55	294	189	16	3	35	14	3	26
cenpe	8517	68	519	653	70	15	311	142	20	117
tmem255b	729	3	19	11	11	0	15	2	1	1
LOC108187164	2709	13	159	47	23	10	43	20	9	16
gas6	2460	85	964	424	52	50	321	159	43	94
pros1	2565	30	509	253	29	22	181	96	24	36
rasa3	3280	198	2455	895	114	80	741	356	99	189
tpp2	5479	196	3769	1203	126	129	1651	693	196	330
LOC100149425	7069	56	385	216	36	28	100	54	12	44
zgc:92518	1600	63	473	250	30	27	198	101	11	79
ercc5	3324	86	1079	459	42	34	292	164	67	101
blzf1	2962	57	735	357	32	33	251	125	42	40
trmt10c	1547	40	894	328	22	36	315	144	48	47
txnl4b	1104	21	271	60	13	11	117	35	6	15
si:ch73-41e3.7	2062	1	48	25	7	7	13	14	2	10
mrpl16	1335	48	383	211	24	9	317	155	23	66
cenpq	949	12	99	59	6	14	81	31	2	15
LOC101885604	2987	52	202	96	40	14	166	46	20	31
mir155	78	0	0	0	4	0	0	0	0	0
mrpl39	1235	43	622	292	24	24	197	93	25	43
jam2a	1101	32	320	188	24	25	112	36	15	32
atp5j	1322	309	1355	774	105	111	958	372	84	277
appa	5796	1542	13202	6294	818	524	4855	2100	664	1196
cyyr1	2928	98	550	286	33	39	337	114	32	64
adamts1	4537	104	407	253	72	27	288	101	58	91
adamts5	2814	74	1010	415	25	31	212	140	34	51
n6amt1	1160	24	212	87	7	18	91	47	15	30
