Geneid	length	WT_Pmm2_5_4	WT_Pmm2_5_3	WT_Pmm2_5_2	Mutant_Pmm2_5_5	Mutant_Pmm2_5_2	Mutant_Pmm2_5_4	Mutant_Pmm2_5_1	Mutant_Pmm2_5_3
rpl24	635	612	133	38104	31828	25931	5184	5909	11812
cep97	2339	184	227	242	270	88	29	142	127
nfkbiz	2907	304	260	1216	1073	876	169	263	707
eed	1563	261	298	670	531	274	64	135	143
hikeshi	865	101	135	966	1241	669	122	212	821
tmem39a	2167	280	201	1034	1027	584	137	434	815
ildr1a	2207	170	207	627	841	627	141	339	310
LOC100332762	3371	239	346	634	476	266	42	167	595
si:zfos-1011f11.1	2912	297	338	2406	3541	1732	464	804	1172
zgc:163025	2862	228	355	209	197	85	7	102	133
f7	1809	183	291	533	615	174	57	61	225
f7i	1694	148	201	486	226	159	46	43	120
f10	2314	300	402	3413	2005	1114	324	539	1733
prozb	1520	101	184	272	166	90	16	31	52
pcid2	1648	213	385	527	560	228	67	215	153
cul4a	2948	420	429	2414	2243	1180	302	592	1284
zgc:64072	2748	364	278	4079	3566	2327	577	674	3245
grtp1a	1688	210	282	931	625	387	55	310	387
adprhl1	5007	322	603	464	338	170	71	88	500
dcun1d2b	1856	129	223	745	676	472	97	190	155
tmco3	3007	292	367	410	383	303	46	116	310
tfdp1b	1735	164	271	458	310	148	67	74	174
grk1a	2090	211	304	761	320	160	44	102	105
cenpe	8517	823	1818	3480	1881	864	146	634	1115
tmem255b	729	95	146	58	79	60	0	8	85
LOC108187164	2709	170	315	337	181	94	55	35	594
gas6	2460	363	501	1050	789	487	112	321	485
pros1	2565	254	429	718	710	325	56	163	449
rasa3	3280	454	742	2353	1944	831	292	596	1411
tpp2	5479	550	954	2873	2321	1606	322	612	1873
LOC100149425	7069	402	855	847	561	164	58	136	416
zgc:92518	1600	141	210	934	786	416	49	142	692
ercc5	3324	272	471	1075	908	702	135	161	189
blzf1	2962	175	312	915	927	354	104	183	281
trmt10c	1547	119	214	715	295	242	98	108	199
txnl4b	1104	56	133	363	332	207	30	26	148
si:ch73-41e3.7	2062	84	166	142	12	39	5	10	100
mrpl16	1335	144	208	929	1065	535	81	296	435
cenpq	949	129	289	318	360	144	31	46	217
LOC101885604	2987	109	306	374	326	205	51	89	213
mir155	78	5	22	0	0	9	2	0	0
mrpl39	1235	123	238	608	625	276	99	119	148
jam2a	1101	139	282	725	372	248	84	123	256
atp5j	1322	177	123	3897	3513	2363	523	483	2238
appa	5796	810	789	19149	16224	8603	1646	4171	8052
cyyr1	2928	360	403	1271	1184	570	177	332	792
adamts1	4537	356	567	1983	1611	921	271	503	787
adamts5	2814	305	447	751	482	293	103	225	466
n6amt1	1160	105	179	259	319	159	47	56	217
gart	3267	366	677	1187	933	304	153	176	538
LOC100332351	1150	96	195	284	198	157	48	71	43
LOC101886071	1805	49	179	190	171	54	15	15	49
donson	824	72	126	85	67	39	4	12	81
runx1	3463	219	440	391	295	158	35	102	112
mir459	81	1	32	12	0	0	0	0	0
urp2	1056	103	219	138	50	118	21	41	72
LOC100333907	1022	112	191	533	523	257	46	105	599
atp1a1a.4	3227	493	545	12316	11414	6185	1642	1995	5291
atp1a1a.1	3477	864	654	20864	18305	11206	2541	4606	7996
LOC108187381	1539	41	92	23	11	12	0	3	21
atp1a1a.2	3234	263	495	3486	3572	2244	567	826	1729
atp1a1a.3	3267	239	610	995	1604	984	207	336	523
atp1a1a.5	3820	200	512	275	428	252	46	127	192
si:ch211-132g1.3	1297	39	129	377	309	230	101	90	204
LOC103911757	1079	58	244	173	120	91	13	33	110
si:ch211-132g1.6	973	38	155	0	26	9	0	2	70
si:ch211-132g1.4	1548	84	179	26	0	46	0	3	50
si:ch211-132g1.1	2067	130	351	50	31	55	4	20	99
si:ch211-132g1.7	3157	164	418	396	358	156	33	78	36
