Geneid	length	WT_Pmm2_6_5	WT_Pmm2_6_3	WT_Pmm2_6_1	WT_Pmm2_6_4	Mutant_Pmm2_6_3	Mutant_Pmm2_6_2	Mutant_Pmm2_6_5	Mutant_Pmm2_6_1
rpl24	635	13738	13270	6761	15174	5701	7502	2873	11117
cep97	2339	112	116	50	116	66	57	26	48
nfkbiz	2907	461	547	208	566	200	265	264	309
eed	1563	169	173	135	296	139	74	40	159
hikeshi	865	413	345	146	435	192	201	95	312
tmem39a	2167	303	335	106	371	173	153	24	201
ildr1a	2207	240	326	109	384	93	141	80	128
LOC100332762	3371	205	269	93	318	167	102	57	118
si:zfos-1011f11.1	2912	823	942	458	1221	491	590	201	728
zgc:163025	2862	52	96	66	88	61	43	11	25
f7	1809	161	166	137	236	148	79	25	97
f7i	1694	93	109	89	213	69	36	12	78
f10	2314	898	784	464	1097	606	403	181	808
prozb	1520	103	90	53	123	43	46	25	74
pcid2	1648	257	239	106	267	106	105	52	161
cul4a	2948	1318	1013	602	1480	501	534	203	933
zgc:64072	2748	1660	1673	518	1809	743	790	484	1185
grtp1a	1688	367	396	137	446	145	125	71	148
adprhl1	5007	142	130	80	140	120	39	22	82
dcun1d2b	1856	344	355	147	500	205	179	89	309
tmco3	3007	143	178	79	204	123	69	45	95
tfdp1b	1735	65	98	83	176	119	46	24	66
grk1a	2090	190	192	114	243	123	8	37	107
cenpe	8517	382	515	174	555	242	250	72	323
tmem255b	729	11	18	6	21	35	7	3	3
LOC108187164	2709	92	84	21	111	59	13	22	41
gas6	2460	347	451	231	510	269	114	74	171
pros1	2565	273	284	138	319	201	119	34	168
rasa3	3280	1168	1251	555	1583	744	302	216	833
tpp2	5479	1154	1395	517	1644	524	501	406	862
LOC100149425	7069	270	171	81	165	172	79	61	164
zgc:92518	1600	289	214	111	276	196	169	27	226
ercc5	3324	562	439	200	567	232	164	71	282
blzf1	2962	380	316	191	572	201	129	58	233
trmt10c	1547	263	275	127	341	141	105	57	268
txnl4b	1104	122	87	30	107	48	41	10	71
si:ch73-41e3.7	2062	28	35	8	26	35	8	3	16
mrpl16	1335	259	259	213	447	104	161	24	173
cenpq	949	60	87	68	95	58	61	23	49
LOC101885604	2987	83	101	58	117	86	63	22	75
mir155	78	0	6	0	0	0	0	0	0
mrpl39	1235	250	207	142	368	124	73	53	119
jam2a	1101	158	206	70	217	129	75	25	110
atp5j	1322	986	993	553	995	472	663	198	974
appa	5796	6409	7241	2384	8579	3427	2767	1266	4319
cyyr1	2928	418	353	177	436	236	152	90	275
adamts1	4537	219	824	163	1143	207	153	58	150
adamts5	2814	332	350	188	546	228	88	62	133
n6amt1	1160	136	140	72	155	36	38	36	73
gart	3267	245	204	182	281	144	147	58	239
LOC100332351	1150	185	140	67	238	134	61	52	125
LOC101886071	1805	76	34	15	97	28	23	14	56
donson	824	1	11	5	33	5	6	0	24
runx1	3463	106	137	61	197	82	44	22	75
mir459	81	0	4	0	4	0	0	0	2
urp2	1056	49	39	9	47	19	14	6	24
LOC100333907	1022	212	193	63	178	113	89	42	105
atp1a1a.4	3227	5421	5998	3343	8236	4473	1959	1104	6016
atp1a1a.1	3477	6587	8384	3840	11068	4094	2959	1442	6106
LOC108187381	1539	0	1	2	21	9	0	1	3
atp1a1a.2	3234	1230	1201	754	1699	692	625	190	1004
atp1a1a.3	3267	284	432	222	561	196	234	133	310
atp1a1a.5	3820	69	136	41	191	120	136	37	77
si:ch211-132g1.3	1297	106	128	41	160	121	100	33	91
LOC103911757	1079	67	52	15	86	51	12	11	33
si:ch211-132g1.6	973	13	0	0	9	11	3	5	6
si:ch211-132g1.4	1548	0	29	0	6	45	3	7	11
si:ch211-132g1.1	2067	33	44	1	22	24	17	12	39
si:ch211-132g1.7	3157	75	123	93	172	59	41	15	39
slc5a3a	2016	0	14	0	2	44	2	2	0
oxgr1a.1	1287	0	8	4	12	11	7	5	7
oxgr1a.3	990	0	8	8	8	11	6	2	3
oxgr1a.2	1017	6	4	3	8	13	1	0	9
mbnl2	5862	3245	3020	1004	3470	1399	1421	485	2026
rap2ab	552	191	133	84	239	42	31	11	65
kpnb3	4156	2323	2292	1290	3284	1592	1148	699	2163
farp1	5695	1390	1429	708	2049	699	455	265	939
si:ch211-235f1.3	6830	2	8	1	1	0	0	1	1
ggact.3	1758	0	0	0	0	0	0	0	0
ggact.2	2176	0	0	0	0	0	0	0	0
ggact.1	1724	0	1	6	4	4	0	3	9
gpc6a	2431	570	547	280	806	243	190	68	233
